Här är den extraherade texten från alla bilder, sammanfogad och strukturerad efter innehåll:

**INNEHÅLL / STRUKTUR**

**Avsnitt:**
1.  Det perfekta tillfället
*   **Elev B:** "Svaret står inte i texten så jag väljer att dra slutsatser genom att hitta ledtrådar och använda erfarenheter. Där finns många ledtrådar."
*   **Elev C:** "Jag letar efter ledtrådar i texten eftersom svaret inte står tydligt. Sen försöker jag att använda det jag hittar i texten för att klura ut vad som står mellan raderna."
*   **Elev D (om karate-texten):** "Här tänkte jag på saker som jag har varit med om som liknar den här situationen och kopplar ihop med det som står i texten."
*   **Elev E (om karate-texten):** "Det stod tidigare att hon inte tycker att det finns kill- och tjejsporter. Jag går tillbaka dit och kopplar ihop det med hur hon reagerar på vad Adrian säger."
*   **Elev F (om karate-texten):** "Jag är inte säker på vad ordet 'taggad' betyder. Därför slår jag upp ordet i en ordbok eller på internet för att kunna svara."

**BEDÖMNINGSMATRIS / KUNSKAPSKRAV (urval):**
*   Eleven kan läsa skönlitteratur med flyt genom att, på ett i huvudsak fungerande sätt, välja och använda lässtrategier utifrån olika texters särdrag.
*   Eleven visar en grundläggande läsförståelse genom att göra enkla sammanfattningar av olika texters innehåll och kommentera centrala delar med viss koppling till tidsperspektiv och orsakssamband.
*   Eleven tolkar och för enkla och till viss del underbyggda resonemang om tydligt framträdande budskap i olika verk och utifrån egna erfarenheter och referensramar.
